DATA_BELOW
2010-12-25,4152,499438
2010-12-26,1920,501358
2010-12-27,5308,506666
2010-12-28,3070,509736
2010-12-29,3977,513713
2010-12-30,3469,517182
2010-12-31,3211,520393
2011-01-01,3484,523877
2011-01-02,3310,527187
2011-01-03,3356,530543
2011-01-04,3401,533944
2011-01-05,3160,537104
2011-01-06,3327,540431
2011-01-07,2492,542923
2011-01-08,0,542923
2011-01-09,0,542923
2011-01-10,2262,545185
2011-01-11,3366,548551
2011-01-12,2653,551204
2011-01-13,1876,553080
2011-01-14,3247,556327
2011-01-15,0,556327
2011-01-16,4,556331
2011-01-17,0,556331
2011-01-18,1039,557370
2011-01-19,3017,560387
2011-01-20,3304,563691
2011-01-21,3346,567037
2011-01-22,3119,570156
2011-01-23,2724,572880
2011-01-24,2938,575818
2011-01-25,2498,578316
2011-01-26,2058,580374
2011-01-27,2989,583363
2011-01-28,2810,586173
2011-01-29,1874,588047
2011-01-30,3095,591142
2011-01-31,2820,593962
2011-02-01,2979,596941
2011-02-02,3249,600190
2011-02-03,3015,603205
2011-02-04,3579,606784
2011-02-05,2729,609513
2011-02-06,2243,611756
2011-02-07,2449,614205
2011-02-08,2945,617150
2011-02-09,3221,620371
2011-02-10,3468,623839
2011-02-11,2817,626656
2011-02-12,0,626656
2011-02-13,0,626656
2011-02-14,2,626658
2011-02-15,27,626685
2011-02-16,2,626687
2011-02-17,1,626688
2011-02-18,1543,628231
2011-02-19,2126,630357
2011-02-20,573,630930
2011-02-21,1155,632085
2011-02-22,1243,633328
2011-02-23,3960,637288
2011-02-24,3433,640721
2011-02-25,3162,643883
2011-02-26,3586,647469
2011-02-27,1607,649076
2011-02-28,1705,650781
2011-03-01,3266,654047
2011-03-02,3314,657361
2011-03-03,3300,660661
2011-03-04,3317,663978
2011-03-05,3099,667077
2011-03-06,3490,670567
2011-03-07,3200,673767
2011-03-08,3322,677089
2011-03-09,3230,680319
2011-03-10,3143,683462
2011-03-11,659,684121
2011-03-12,1817,685938
2011-03-13,0,685938
2011-03-14,2309,688247
2011-03-15,3351,691598
2011-03-16,3412,695010
2011-03-17,3441,698451
2011-03-18,3504,701955
2011-03-19,1495,703450
2011-03-20,3148,706598
2011-03-21,2506,709104
2011-03-22,1620,710724
2011-03-23,3581,714305
2011-03-24,3421,717726
2011-03-25,3352,721078
2011-03-26,3352,724430
2011-03-27,3483,727913
2011-03-28,3412,731325
2011-03-29,3513,734838
2011-03-30,3255,738093
2011-03-31,3162,741255
2011-04-01,3304,744559
2011-04-02,1903,746462
2011-04-03,2534,748996
2011-04-04,3227,752223
2011-04-05,3291,755514
2011-04-06,3263,758777
2011-04-07,2854,761631
2011-04-08,3220,764851
2011-04-09,3281,768132
2011-04-10,3205,771337
2011-04-11,2992,774329
2011-04-12,2154,776483
2011-04-13,1328,777811
2011-04-14,2232,780043
2011-04-15,2674,782717
2011-04-16,0,782717
2011-04-17,0,782717
2011-04-18,2049,784766
2011-04-19,3245,788011
2011-04-20,3289,791300
2011-04-21,3069,794369
2011-04-22,3386,797755
2011-04-23,3102,800857
2011-04-24,3644,804501
2011-04-25,3334,807835
2011-04-26,4587,812422
2011-04-27,3776,816198
2011-04-28,3174,819372
2011-04-29,4424,823796
2011-04-30,3749,827545
2011-05-01,3818,831363
2011-05-02,3683,835046
2011-05-03,3377,838423
2011-05-04,3844,842267
2011-05-05,3666,845933
2011-05-06,3080,849013
2011-05-07,1568,850581
2011-05-08,4139,854720
2011-05-09,3633,858353
2011-05-10,3651,862004
2011-05-11,3688,865692
2011-05-12,3724,869416
2011-05-13,3722,873138
2011-05-14,3011,876149
2011-05-15,4201,880350
2011-05-16,3593,883943
2011-05-17,3688,887631
2011-05-18,3676,891307
2011-05-19,3691,894998
2011-05-20,3019,898017
2011-05-21,2043,900060
2011-05-22,4379,904439
2011-05-23,3627,908066
2011-05-24,3664,911730
2011-05-25,3702,915432
2011-05-26,3644,919076
2011-05-27,3592,922668
2011-05-28,3644,926312
2011-05-29,3702,930014
2011-05-30,3628,933642
2011-05-31,3422,937064
2011-06-01,3265,940329
2011-06-02,3409,943738
2011-06-03,3510,947248
2011-06-04,3080,950328
2011-06-05,4351,954679
2011-06-06,3582,958261
2011-06-07,3572,961833
2011-06-08,3371,965204
2011-06-09,3487,968691
2011-06-10,3385,972076
